,Sector,Entry_Date,Exit_Date,Entry_Spread,Exit_Spread,PnL,Holding_Period
158,Treasuries,2024-04-12,2024-04-17,0.0007044663517932204,-0.00014700145272317222,85.14678045163926,5
159,Treasuries,2024-04-22,2024-04-24,-0.000450244590458615,0.00019188264774561148,64.21272382042264,2
160,Treasuries,2024-05-17,2024-05-20,-0.00035170179828714065,3.1509894763415147e-06,35.48527877634822,3
161,Treasuries,2024-05-29,2024-05-30,0.00014593718703936887,-0.0001940115702863121,33.9948757325681,1
162,Treasuries,2024-06-04,2024-06-06,0.000666450819263753,-1.913033133160713e-05,68.55811505953602,2
163,Treasuries,2024-06-07,2024-06-10,-0.0005062364281330778,-0.00015923079097812654,34.70056371549512,3
164,Treasuries,2024-06-11,2024-06-12,0.00033255955559630124,-0.00035853179699874005,69.10913525950413,1
165,Treasuries,2024-06-13,2024-06-17,0.0006487660080238822,-9.74242890188215e-05,74.61902970427036,4
166,Treasuries,2024-06-24,2024-06-25,-0.0005758423392636658,0.00046497214548657517,104.0814484750241,1
167,Treasuries,2024-07-01,2024-07-02,-0.0006912887636398857,-0.00022353755539139541,46.775120824849026,1
168,Treasuries,2024-07-16,2024-07-17,0.00039406159788990536,0.00011180086745099516,28.22607304389102,1
169,Treasuries,2024-07-22,2024-07-23,-0.00041832902978988784,0.0002845145393903792,70.2843569180267,1
170,Treasuries,2024-07-24,2024-07-25,0.00039419482253899574,0.0001627807062598574,23.141411627913833,1
171,Treasuries,2024-07-30,2024-07-31,0.00036610937980263714,6.50063829832348e-06,35.960874150431366,1
172,Treasuries,2024-08-01,2024-08-06,0.0008596005229506432,-0.0018611004440882706,272.07009670389135,5
173,Treasuries,2024-08-08,2024-08-09,-0.0006685321912615061,-1.8030369801858015e-05,65.05018214596481,1
174,Treasuries,2024-08-14,2024-08-16,-0.0006270713814588991,0.00014467569400045122,77.17470754593504,2
175,Treasuries,2024-09-03,2024-09-04,0.0008813099973645766,0.00028499965793238324,59.631033943219336,1
176,Treasuries,2024-09-18,2024-09-20,-0.0005179104576079618,0.0001847041270970351,70.26145847049969,2
177,Treasuries,2024-09-25,2024-09-26,0.00033830821777358633,-0.000107607985348257,44.59162031218433,1
178,Treasuries,2024-10-02,2024-10-03,-0.0005045114573720699,-0.00025630924887221074,24.82022084998592,1
179,Treasuries,2024-10-04,2024-10-07,-0.0006959444754564004,5.575618073072608e-05,75.17006561871264,3
180,Treasuries,2024-10-18,2024-10-22,0.0004303766481792426,7.455681205414955e-05,35.581983612509305,4
181,Treasuries,2024-10-23,2024-10-24,0.00032158065862131213,-4.03788362004498e-05,36.19594948217619,1
